Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category
40:18.9,07/07/2024,09/07/2024,Hotel St. James,12,2,8.68,0.6454507089401917,-1.0687453549379913,-0.025877153019072244,10.0,0,0,0,1,8,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
40:26.4,07/07/2024,09/07/2024,Doxie Hotel,12,2,8.770833048042908,-1.5601496710241656,-1.5633713043307809,-1.4172254734864005,0.0,0,0,0,0,171,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
41:02.8,07/07/2024,10/07/2024,Hotel St. James,12,3,8.68,0.6454507089401917,-0.4504629181970046,0.2933145204999031,10.047846889952153,0,0,0,1,8,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
41:38.3,07/07/2024,11/07/2024,Hotel St. James,12,4,8.68,0.6454507089401917,-0.20314994350060994,0.4160805487764321,9.821428571428571,0,0,0,1,9,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
42:48.5,08/07/2024,09/07/2024,Hotel St. James,13,1,8.68,0.6454507089401917,-1.0687453549379913,-0.025877153019072244,10.0,0,0,0,1,4,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
43:25.1,08/07/2024,10/07/2024,Hotel St. James,13,2,8.68,0.6454507089401917,-0.20314994350060994,0.4160805487764321,9.821428571428571,0,0,0,1,6,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
44:00.1,08/07/2024,11/07/2024,Hotel St. James,13,3,8.68,0.6454507089401917,0.02649781871747086,0.538846577052961,10.041841,0,0,0,1,6,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
45:43.8,09/07/2024,10/07/2024,Hotel St. James,14,1,8.68,0.6454507089401917,0.5034585556319463,0.784378633606019,10.037174721189592,0,0,0,1,13,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
46:17.6,09/07/2024,11/07/2024,Hotel St. James,14,2,8.68,0.6454507089401917,0.5034585556319463,0.784378633606019,10.037174721189592,0,0,0,1,10,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
48:42.6,10/07/2024,11/07/2024,Hotel St. James,15,1,8.68,0.6454507089401917,0.5034585556319463,0.784378633606019,10.037174721189592,0,0,0,1,9,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
58:46.0,13/07/2024,16/07/2024,Hotel St. James,18,3,8.68,0.6454507089401917,0.1324890935873543,0.5879529883635726,9.795918367,0,0,0,1,13,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
59:21.7,13/07/2024,17/07/2024,Hotel St. James,18,4,8.68,0.6454507089401917,0.2914760058921795,0.6779814090996938,10.15625,0,0,0,1,11,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
59:57.4,13/07/2024,18/07/2024,Hotel St. James,18,5,8.68,0.6454507089401917,0.3974672807620629,0.7270878204103054,9.923664122137405,0,0,0,1,13,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
00:30.5,14/07/2024,15/07/2024,Hotel St. James,19,1,8.68,0.6454507089401917,-0.7861019552849688,0.12144208091276253,10.106382978723405,0,0,0,1,9,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
01:05.2,14/07/2024,16/07/2024,Hotel St. James,19,2,8.68,0.6454507089401917,-0.5034585556319463,0.2687613148445973,10.194174757281552,0,0,0,1,8,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
01:40.4,14/07/2024,17/07/2024,Hotel St. James,19,3,8.68,0.6454507089401917,0.02649781871747086,0.538846577052961,10.041841,0,0,0,1,9,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
02:13.3,14/07/2024,18/07/2024,Hotel St. James,19,4,8.68,0.6454507089401917,0.22081515597892384,0.6370593996741842,9.960159363,0,0,0,1,9,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
02:52.7,14/07/2024,19/07/2024,Hotel St. James,19,5,8.68,0.6454507089401917,0.27381079341386555,0.6697970072145919,10.196078431372548,0,0,0,1,15,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
03:27.5,15/07/2024,16/07/2024,Hotel St. James,20,1,8.68,0.6454507089401917,-0.20314994350060994,0.4160805487764321,9.821428571428571,0,0,0,1,4,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
04:02.7,15/07/2024,17/07/2024,Hotel St. James,20,2,8.68,0.6454507089401917,0.3621368558054351,0.7107190166401016,10.0,0,0,0,1,8,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
04:37.5,15/07/2024,18/07/2024,Hotel St. James,20,3,8.68,0.6454507089401917,0.5034585556319463,0.784378633606019,10.037174721189592,0,0,0,1,7,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
05:12.9,15/07/2024,19/07/2024,Hotel St. James,20,4,8.68,0.6454507089401917,0.5034585556319463,0.784378633606019,10.037174721189592,0,0,0,1,10,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
05:48.4,15/07/2024,20/07/2024,Hotel St. James,20,5,8.68,0.6454507089401917,0.6271150429801438,0.8416694468017325,9.782608695652174,0,0,0,1,16,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
06:23.2,16/07/2024,17/07/2024,Hotel St. James,21,1,8.68,0.6454507089401917,0.7861019552849688,0.9316978675378538,10.104529616724738,0,0,0,1,11,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
06:56.9,16/07/2024,18/07/2024,Hotel St. James,21,2,8.68,0.6454507089401917,0.7861019552849688,0.9316978675378538,10.104529616724738,0,0,0,1,10,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
07:31.3,16/07/2024,19/07/2024,Hotel St. James,21,3,8.68,0.6454507089401917,0.6977758928933994,0.8825914562272421,9.964412811,0,0,0,1,10,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
08:06.3,16/07/2024,20/07/2024,Hotel St. James,21,4,8.68,0.6454507089401917,0.7861019552849688,0.9316978675378538,10.104529616724738,0,0,0,1,11,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
