Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category,full_price,checkin,checkout,checkin_day,checkout_day,checkin_day_name_Friday,checkin_day_name_Monday,checkin_day_name_Saturday,checkin_day_name_Sunday,checkin_day_name_Thursday,checkin_day_name_Tuesday,checkin_day_name_Wednesday,checkin_day_name_nan,checkout_day_name_Friday,checkout_day_name_Monday,checkout_day_name_Saturday,checkout_day_name_Sunday,checkout_day_name_Thursday,checkout_day_name_Tuesday,checkout_day_name_Wednesday,checkout_day_name_nan,period_of_the_month_beginning of the month,period_of_the_month_end of the month,period_of_the_month_middle of the month
,05/07/2024,09/07/2024,Doxie Hotel,10,4,8.770833048042908,-1.671399365582747,-0.364974004548225,-1.5973629890801584,0.0,0,0,0,0,232,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.5672480369020491,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,05/07/2024,10/07/2024,Doxie Hotel,10,5,8.770833048042908,-1.671399365582747,-0.44427021063489036,-1.5973629890801584,0.0,0,0,0,0,185,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,1.137251599045691,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,06/07/2024,07/07/2024,Hotel St. James,11,1,8.68,0.5989045191990552,0.6923087432739801,0.7707570456546559,10.037174721189592,0,0,0,1,13,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.158003386484589,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,06/07/2024,08/07/2024,Hotel St. James,11,2,8.68,0.5989045191990552,-0.364974004548225,0.3746031364982743,9.821428571428571,0,0,0,1,16,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.6642035091195088,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,06/07/2024,08/07/2024,Doxie Hotel,11,2,8.770833048042908,-1.671399365582747,-0.364974004548225,-1.5973629890801584,0.0,0,0,0,0,241,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.6642035091195088,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,06/07/2024,09/07/2024,Hotel St. James,11,3,8.68,0.5989045191990552,-0.7350229662859967,0.24255183344614714,10.047846889952153,0,0,0,1,14,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.17649992653671356,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,06/07/2024,09/07/2024,Doxie Hotel,11,3,8.770833048042908,-1.671399365582747,-1.0522077906326581,-1.5973629890801584,0.0,0,0,0,0,221,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.2862332326178425,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,06/07/2024,10/07/2024,Hotel St. James,11,4,8.68,0.5989045191990552,-0.364974004548225,0.3746031364982743,9.821428571428571,0,0,0,1,9,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.5672480369020491,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,06/07/2024,10/07/2024,Doxie Hotel,11,4,8.770833048042908,-1.671399365582747,-0.9729115845459928,-1.5973629890801584,0.0,0,0,0,0,163,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.28681847691694184,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,06/07/2024,11/07/2024,Hotel St. James,11,5,8.68,0.5989045191990552,-0.15351745498378397,0.45383391832955067,9.871244635193133,0,0,0,1,9,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,1.3048997055585267,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
