score_expedia,reviews_expedia,star_rating_expedia,location_rating_expedia,km_from_center_expedia,Free_cancellation_expedia,Breakfast_expedia,score_booking,reviews_booking,star_rating_booking,location_rating_booking,km_from_center_booking,Free_cancellation_booking,Breakfast_booking,score_diff,reviews_diff,star_rating_diff,location_rating_diff,km_diff,cancellation_diff,breakfast_diff,Index,index
9.29,128.0,4.0,9.322012578616352,2.5,0.0,0.0,7.6,60.0,4.0,9.335996215193298,2.5,0.0,0.0,-1.6899999999999995,-68.0,0.0,0.004939580286320299,0.0,0.0,0.0,201.0,84.0
8.28,1001.0,4.0,9.322012578616352,1.6,0.0,0.0,7.8,382.0,4.0,9.335996215193298,1.6,0.0,0.0,-0.47999999999999954,-619.0,0.0,0.004939580286320299,0.0,0.0,0.0,87.0,71.0
8.28,1001.0,3.0,9.322012578616352,5.0,0.0,0.0,7.6,894.0,3.0,9.335996215193298,5.0,0.0,0.0,-0.6799999999999997,-107.0,0.0,0.004939580286320299,0.0,0.0,0.0,214.0,115.0
8.48,1003.0,4.0,9.322012578616352,5.6,1.0,0.0,7.7,3345.0,4.0,9.335996215193298,5.6,0.0,0.0,-0.7800000000000002,2342.0,0.0,0.004939580286320299,0.0,-1.0,0.0,37.0,86.0
8.08,1002.0,4.0,9.322012578616352,6.8,1.0,0.0,7.4,1182.0,4.0,9.335996215193298,6.8,1.0,0.0,-0.6799999999999997,180.0,0.0,0.004939580286320299,0.0,0.0,0.0,164.0,50.0
8.787778736517721,3608.0,4.0,9.322012578616352,0.4,1.0,0.0,6.8,4520.0,4.0,9.335996215193298,0.4,0.0,0.0,-1.987778736517721,912.0,0.0,0.004939580286320299,0.0,-1.0,0.0,10.0,98.0
8.08,1001.0,4.0,9.3,1.4,1.0,0.0,7.7,2464.0,4.0,9.3,1.4,1.0,0.0,-0.3799999999999999,1463.0,0.0,0.0,0.0,0.0,0.0,123.0,174.0
8.88,1596.0,3.0,9.322012578616352,7.7,0.0,0.0,8.4,5074.0,3.0,9.335996215193298,7.7,0.0,0.0,-0.4800000000000004,3478.0,0.0,0.004939580286320299,0.0,0.0,0.0,78.0,24.0
9.09,675.0,3.0,9.3,2.5,0.0,0.0,8.3,1429.0,3.0,9.3,2.5,0.0,0.0,-0.7899999999999991,754.0,0.0,0.0,0.0,0.0,0.0,98.0,72.0
8.68,172.0,3.0,9.322012578616352,6.0,0.0,0.0,8.1,1108.0,3.0,9.335996215193298,6.0,0.0,0.0,-0.5800000000000001,936.0,0.0,0.004939580286320299,0.0,0.0,0.0,20.0,19.0
8.88,4218.0,3.0,9.3,1.4,0.0,0.0,8.1,22366.0,3.0,9.3,1.4,0.0,0.0,-0.7800000000000011,18148.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0
8.08,1005.0,4.0,9.445408500330323,6.8,1.0,0.0,7.4,1182.0,4.0,9.335996215193298,6.8,1.0,0.0,-0.6799999999999997,177.0,0.0,0.004939580286320299,0.0,0.0,0.0,235.0,76.0
